sample_id,scenario,mean_off_diagonal_cross_contract_correlation,representative_contract_moneyness,representative_contract_maturity_years,representative_contract_lag1_correlation
77,low_iid,0.00346091244312,0,0.25,-0.0666702778247
77,spatial_corr,0.219923824466,0,0.25,-0.00792197143415
77,persistent_factor,0.0955475025487,0,0.25,0.0303379194661
78,low_iid,0.00766879403817,0,0.25,0.043823705486
78,spatial_corr,0.195823088417,0,0.25,0.0373299350027
78,persistent_factor,0.0903413891305,0,0.25,0.0631478713745
79,low_iid,0.00387113141224,0,0.25,0.0195605582117
79,spatial_corr,0.205097351238,0,0.25,0.000897842563469
79,persistent_factor,0.136535262898,0,0.25,0.189398919091
80,low_iid,0.000437858012485,0,0.25,-0.00469311750716
80,spatial_corr,0.20011207511,0,0.25,-0.0882637570108
80,persistent_factor,0.115769680142,0,0.25,0.116232735117
81,low_iid,-0.00468868956096,0,0.25,0.00864682580074
81,spatial_corr,0.188083220523,0,0.25,-0.104934507102
81,persistent_factor,0.103415596644,0,0.25,0.122047497259
82,low_iid,0.00372902265138,0,0.25,0.00905710003759
82,spatial_corr,0.200253064166,0,0.25,-0.00393324777551
82,persistent_factor,0.0909118002106,0,0.25,0.164614562002
83,low_iid,0.00133479403057,0,0.25,-0.0210476023748
83,spatial_corr,0.206643494081,0,0.25,-0.00286960666304
83,persistent_factor,0.07732673919,0,0.25,0.106074355801
84,low_iid,-0.00183193154669,0,0.25,0.00750775323487
84,spatial_corr,0.19575576051,0,0.25,-0.0461923052799
84,persistent_factor,0.115264617065,0,0.25,0.219169424793
85,low_iid,0.00837595470765,0,0.25,0.0993354813577
85,spatial_corr,0.180837767308,0,0.25,-0.00765393948002
85,persistent_factor,0.095376804551,0,0.25,0.153274342079
86,low_iid,-0.00656141833363,0,0.25,-0.0171351280566
86,spatial_corr,0.207077831398,0,0.25,-0.0206851128878
86,persistent_factor,0.0858381824879,0,0.25,0.0670880349995
87,low_iid,-0.00266014464804,0,0.25,0.0611950847875
87,spatial_corr,0.194627479743,0,0.25,-0.0329293693969
87,persistent_factor,0.0813283740231,0,0.25,0.191782303769
88,low_iid,0.00366065506031,0,0.25,0.0428004196621
88,spatial_corr,0.20131305262,0,0.25,-0.0596360766439
88,persistent_factor,0.0893899959787,0,0.25,0.153735825973
89,low_iid,0.00138261594797,0,0.25,0.0535321574566
89,spatial_corr,0.231911510174,0,0.25,-0.059572867773
89,persistent_factor,0.0930675967894,0,0.25,0.103292123692
90,low_iid,0.000276136709155,0,0.25,0.0215246704686
90,spatial_corr,0.215647928876,0,0.25,0.0116627077312
90,persistent_factor,0.117011898805,0,0.25,0.198580759478
91,low_iid,0.00207718380413,0,0.25,-0.0592579445281
91,spatial_corr,0.212301608901,0,0.25,-0.0485835116274
91,persistent_factor,0.143675303043,0,0.25,0.236041869124
92,low_iid,0.0140376147062,0,0.25,0.000902294685222
92,spatial_corr,0.204469165057,0,0.25,-0.00336770547354
