sample_id,scenario,mean_error,mae,rmse,median_absolute_error,q95_absolute_error,correlation
24,spatial_corr,-0.00260265423624,0.00297631712075,0.00349522362866,0.0026314349436,0.00595965147318,0.991979858016
24,persistent_factor,-0.00187067109929,0.00240893809343,0.00289441280364,0.00217580896081,0.00521212504585,0.99175794993
25,clean,-0.00390867021518,0.00390867021518,0.00404621661403,0.00383186360432,0.00576690440555,0.999952886157
25,low_iid,-0.00563968267171,0.00563968267171,0.00605777803671,0.00578358122648,0.0087896701284,0.991057371382
25,spatial_corr,-0.00559163171304,0.00559163171304,0.00603486382877,0.00563999190226,0.00895368391093,0.99039141143
25,persistent_factor,-0.00554409848473,0.00554409848473,0.00601056611577,0.0057047869739,0.00901028519179,0.990394216798
26,clean,0.00169285890225,0.00182574309969,0.00198462607889,0.00203418920873,0.00273419540319,0.99999442307
26,low_iid,-0.00175173037461,0.00221966636717,0.00268148519695,0.00191162789687,0.00453879088877,0.993880721022
26,spatial_corr,-0.000751885120368,0.00196755680597,0.00228326666029,0.00199715484151,0.00387610593919,0.993072561709
26,persistent_factor,-0.000693694603979,0.00195473692731,0.00225310927412,0.00203508355382,0.00366378442535,0.993491971918
27,clean,0.00108200055313,0.00108200055313,0.0010934441192,0.00101751017235,0.00140339710035,0.99999445197
27,low_iid,-0.00267583988734,0.0028048275847,0.00342383377607,0.00287462573567,0.00596563721373,0.995545979268
27,spatial_corr,-0.00274891905097,0.00290029701109,0.00349663780822,0.00294058597563,0.00597069388425,0.995353044937
27,persistent_factor,-0.00234470843189,0.0027967613074,0.003306098773,0.00271090529893,0.00591128266986,0.995505013488
28,clean,-0.00140960410106,0.00141818813635,0.00162329073528,0.00123984256955,0.00293069364073,0.999977708232
28,low_iid,-0.00437859238338,0.00437859238338,0.00495331973559,0.00427170011059,0.00891442024553,0.989917722497
28,spatial_corr,-0.00372506680486,0.00392872548936,0.00462448736665,0.00385341461069,0.00872414978545,0.989366758307
28,persistent_factor,-0.0031097578328,0.00342236132922,0.00409557320773,0.00310205320506,0.00819802858896,0.989839562441
29,clean,0.000969050300414,0.00135431882454,0.00148422404108,0.00147733977448,0.00195698354141,0.999974303633
29,low_iid,-0.00196904776436,0.0024777133314,0.00313655686117,0.00186076735464,0.00703634954809,0.994881406604
29,spatial_corr,-0.00198007353579,0.00242425044585,0.00307004795003,0.00190991575319,0.00672583896011,0.994850658512
